name,poi
BELDEN TIMOTHY N,0.6131002605404648
BOWEN JR RAYMOND M,0.9055921037571766
HANNON KEVIN P,0.6503504887952903
DELAINEY DAVID W,0.060590582904721815
CAUSEY RICHARD A,0.9736043013648615
HICKERSON GARY J,0.6562833187108141
FREVERT MARK A,0.9949624722325755
CHAN RONNIE,1.4218566880348756e-10
DONAHUE JR JEFFREY M,0.6259329823553182
REYNOLDS LAWRENCE,0.04550576706255381
HORTON STANLEY C,2.4323079456563697e-08
LEWIS RICHARD,0.0002708189801312698
SHERRICK JEFFREY B,0.00010137531055586305
MEYER JEROME J,1.7230288932105537e-07
DERRICK JR. JAMES V,0.054766068538772666
PIRO JIM,1.5715049708325431e-06
DETMERING TIMOTHY J,0.04914992671170786
KISHKILL JOSEPH G,0.8084342493001138
BAY FRANKLIN R,0.17681652525139205
PRENTICE JAMES,3.0439424449549537e-08
TOTAL,0.9998724284697215
FALLON JAMES B,0.5671489332650704
METTS MARK,0.7889233546428346
WODRASKA JOHN,4.502528962679223e-11
MORDAUNT KRISTINA M,0.11276026359121982
CARTER REBECCA C,4.571598162603782e-11
BHATNAGAR SANJAY,6.26502290118783e-13
WALTERS GARETH W,0.03208994270033821
BIBI PHILIPPE A,0.24837096278693255
SHERRIFF JOHN R,4.5408858534483594e-05
GIBBS DANA R,1.0594099261473384e-06
LINDHOLM TOD A,0.08233749712208847
MCMAHON JEFFREY,0.7276926543672743
