name,poi
BELDEN TIMOTHY N,0.3031348698580477
BOWEN JR RAYMOND M,0.34994065528984253
HANNON KEVIN P,0.35220900452950965
DELAINEY DAVID W,0.3013324784465418
CAUSEY RICHARD A,0.29036535486310844
HICKERSON GARY J,0.30026232114827395
FREVERT MARK A,0.5804619188001541
CHAN RONNIE,0.002482003932189289
DONAHUE JR JEFFREY M,0.15564303313314518
REYNOLDS LAWRENCE,0.05006169233182739
HORTON STANLEY C,0.17140645600647741
LEWIS RICHARD,0.00989543237732366
SHERRICK JEFFREY B,0.03129218232813076
MEYER JEROME J,0.002482003932189289
DERRICK JR. JAMES V,0.31350844062316796
PIRO JIM,0.003023028617848963
DETMERING TIMOTHY J,0.05281496463010679
KISHKILL JOSEPH G,0.15816828817836126
BAY FRANKLIN R,0.09245055747299347
PRENTICE JAMES,0.014349346893067718
TOTAL,0.5375756523243737
FALLON JAMES B,0.3955618281909578
METTS MARK,0.13051051867253136
WODRASKA JOHN,0.034939957420114
MORDAUNT KRISTINA M,0.032177904317987366
CARTER REBECCA C,0.015275796120616464
BHATNAGAR SANJAY,0.05393226446390213
WALTERS GARETH W,0.028105144612430733
BIBI PHILIPPE A,0.19462280455663022
SHERRIFF JOHN R,0.30473053420890966
GIBBS DANA R,0.026546567643322968
LINDHOLM TOD A,0.07635079709296928
MCMAHON JEFFREY,0.35146495978158937
